County,State Abbrev,County Cap SED,County Alt SED,State Name Cap SED,FIPS code,Metro Area,Census Geographic Area
Collin,TX,COLLIN,,TEXAS,48085,DFW,"Collin County, Texas"
Cooke,TX,COOKE,,TEXAS,48097,DFW,"Cooke County, Texas"
Dallas,TX,DALLAS,,TEXAS,48113,DFW,"Dallas County, Texas"
Delta,TX,DELTA,,TEXAS,48119,DFW,"Delta County, Texas"
Denton,TX,DENTON,,TEXAS,48121,DFW,"Denton County, Texas"
Ellis,TX,ELLIS,,TEXAS,48139,DFW,"Ellis County, Texas"
Erath,TX,ERATH,,TEXAS,48143,DFW,"Erath County, Texas"
Fannin,TX,FANNIN,,TEXAS,48147,DFW,"Fannin County, Texas"
Grayson,TX,GRAYSON,,TEXAS,48181,DFW,"Grayson County, Texas"
Henderson,TX,HENDERSON,,TEXAS,48213,DFW,"Henderson County, Texas"
Hill,TX,HILL,,TEXAS,48217,DFW,"Hill County, Texas"
Hood,TX,HOOD,,TEXAS,48221,DFW,"Hood County, Texas"
Hopkins,TX,HOPKINS,,TEXAS,48223,DFW,"Hopkins County, Texas"
Hunt,TX,HUNT,,TEXAS,48231,DFW,"Hunt County, Texas"
Jack,TX,JACK,,TEXAS,48237,DFW,"Jack County, Texas"
Johnson,TX,JOHNSON,,TEXAS,48251,DFW,"Johnson County, Texas"
Kaufman,TX,KAUFMAN,,TEXAS,48257,DFW,"Kaufman County, Texas"
Montague,TX,MONTAGUE,,TEXAS,48337,DFW,"Montague County, Texas"
Navarro,TX,NAVARRO,,TEXAS,48349,DFW,"Navarro County, Texas"
Palo Pinto,TX,PALO PINTO,,TEXAS,48363,DFW,"Palo Pinto County, Texas"
Parker,TX,PARKER,,TEXAS,48367,DFW,"Parker County, Texas"
Rains,TX,RAINS,,TEXAS,48379,DFW,"Rains County, Texas"
Rockwall,TX,ROCKWALL,,TEXAS,48397,DFW,"Rockwall County, Texas"
Tarrant,TX,TARRANT,,TEXAS,48439,DFW,"Tarrant County, Texas"
Van Zandt,TX,VAN ZANDT,,TEXAS,48467,DFW,"Van Zandt County, Texas"
Wise,TX,WISE,,TEXAS,48497,DFW,"Wise County, Texas"
