index,FIPS code,Year,Hail Reports,Wind Reports
231,17119,1976,1,1
232,17119,1977,2,4
233,17119,1978,0,1
234,17119,1979,0,2
235,17119,1980,3,5
236,17119,1981,3,4
237,17119,1982,4,6
238,17119,1983,1,3
239,17119,1984,4,2
240,17119,1985,0,1
241,17119,1986,1,3
242,17119,1987,0,3
243,17119,1988,0,5
244,17119,1989,1,3
245,17119,1990,1,5
246,17119,1991,1,5
247,17119,1992,1,4
248,17119,1993,0,4
249,17119,1994,0,14
250,17119,1995,1,8
251,17119,1996,3,7
252,17119,1997,5,1
253,17119,1998,5,23
254,17119,1999,2,11
255,17119,2000,6,19
256,17119,2001,13,13
257,17119,2002,2,11
258,17119,2003,6,16
259,17119,2004,5,13
260,17119,2005,6,22
261,17119,2006,19,24
262,17119,2007,17,6
263,17119,2008,22,9
264,17119,2009,21,2
265,17119,2010,7,9
266,17119,2011,24,14
267,17119,2012,26,1
268,17119,2013,4,11
269,17119,2014,7,9
270,17119,2015,2,5
271,17119,2016,5,7
272,17119,2017,8,10
273,17119,2018,8,13
274,17119,2019,4,5
275,17119,2020,1,3
276,17119,2021,1,9
277,17119,2022,0,10
278,17119,2023,6,19
279,17119,2024,5,4
280,17133,1955,0,0
281,17133,1956,0,0
282,17133,1957,0,0
283,17133,1958,0,0
284,17133,1959,0,0
285,17133,1960,0,0
286,17133,1961,0,0
287,17133,1962,0,0
288,17133,1963,0,0
289,17133,1964,0,0
290,17133,1965,0,0
291,17133,1966,0,0
292,17133,1967,0,0
293,17133,1968,0,2
294,17133,1969,0,0
295,17133,1970,0,0
296,17133,1971,1,0
297,17133,1972,0,0
298,17133,1973,0,0
299,17133,1974,1,2
300,17133,1975,1,1
301,17133,1976,3,0
302,17133,1977,1,2
303,17133,1978,0,0
304,17133,1979,0,0
305,17133,1980,0,0
306,17133,1981,0,3
307,17133,1982,1,1
308,17133,1983,0,1
309,17133,1984,0,1
310,17133,1985,0,0
311,17133,1986,0,0
312,17133,1987,0,0
313,17133,1988,0,2
314,17133,1989,1,0
315,17133,1990,2,0
316,17133,1991,1,2
317,17133,1992,2,3
318,17133,1993,4,2
319,17133,1994,0,2
320,17133,1995,2,6
321,17133,1996,3,7
322,17133,1997,0,3
323,17133,1998,4,6
324,17133,1999,2,0
325,17133,2000,3,1
326,17133,2001,0,1
327,17133,2002,1,2
328,17133,2003,2,4
329,17133,2004,4,2
330,17133,2005,1,5
331,17133,2006,17,4
332,17133,2007,4,0
333,17133,2008,6,4
334,17133,2009,1,0
335,17133,2010,6,9
336,17133,2011,7,4
337,17133,2012,4,6
338,17133,2013,0,2
339,17133,2014,1,0
340,17133,2015,1,3
341,17133,2016,5,2
342,17133,2017,5,4
343,17133,2018,2,4
344,17133,2019,0,5
345,17133,2020,0,2
346,17133,2021,1,0
347,17133,2022,0,0
348,17133,2023,2,8
349,17133,2024,6,4
350,17157,1955,0,0
351,17157,1956,0,0
352,17157,1957,0,0
353,17157,1958,0,0
354,17157,1959,0,0
355,17157,1960,0,0
356,17157,1961,1,0
357,17157,1962,0,0
