,Geographic Area,"April 1, 2020 Estimates Base",2020,2021,2022,2023,Unnamed: 0,FIPS code,SED location,Census location
46,"Lincoln County, Oklahoma","33,460","33,498","33,846","34,134","34,562",46,40081,"LINCOLN, OKLAHOMA","Lincoln County, Oklahoma"
47,"Logan County, Oklahoma","49,545","49,736","50,900","51,924","53,029",47,40083,"LOGAN, OKLAHOMA","Logan County, Oklahoma"
48,"McClain County, Oklahoma","41,664","41,914","43,535","45,410","47,072",49,40087,"MCCLAIN, OKLAHOMA","McClain County, Oklahoma"
49,"Mayes County, Oklahoma","39,050","39,059","39,259","39,570","39,889",48,40097,"MAYES, OKLAHOMA","Mayes County, Oklahoma"
50,"Muskogee County, Oklahoma","66,348","66,246","66,267","66,307","66,677",50,40101,"MUSKOGEE, OKLAHOMA","Muskogee County, Oklahoma"
51,"Nowata County, Oklahoma","9,320","9,320","9,352","9,413","9,438",51,40105,"NOWATA, OKLAHOMA","Nowata County, Oklahoma"
52,"Oklahoma County, Oklahoma","796,555","798,241","799,845","803,103","808,866",52,40109,"OKLAHOMA, OKLAHOMA","Oklahoma County, Oklahoma"
53,"Okmulgee County, Oklahoma","36,710","36,693","36,848","37,011","37,035",53,40111,"OKMULGEE, OKLAHOMA","Okmulgee County, Oklahoma"
54,"Osage County, Oklahoma","45,825","45,787","45,882","45,852","46,130",54,40113,"OSAGE, OKLAHOMA","Osage County, Oklahoma"
55,"Pawnee County, Oklahoma","15,555","15,557","15,707","15,681","15,864",55,40117,"PAWNEE, OKLAHOMA","Pawnee County, Oklahoma"
56,"Pontotoc County, Oklahoma","38,071","38,095","38,184","38,032","38,396",56,40123,"PONTOTOC, OKLAHOMA","Pontotoc County, Oklahoma"
57,"Pottawatomie County, Oklahoma","72,458","72,559","73,045","73,351","73,791",57,40125,"POTTAWATOMIE, OKLAHOMA","Pottawatomie County, Oklahoma"
58,"Rogers County, Oklahoma","95,236","95,386","96,871","99,060","100,248",58,40131,"ROGERS, OKLAHOMA","Rogers County, Oklahoma"
59,"Seminole County, Oklahoma","23,560","23,517","23,542","23,464","23,565",59,40133,"SEMINOLE, OKLAHOMA","Seminole County, Oklahoma"
60,"Tulsa County, Oklahoma","669,277","670,702","674,051","677,061","682,868",60,40143,"TULSA, OKLAHOMA","Tulsa County, Oklahoma"
61,"Wagoner County, Oklahoma","80,983","81,384","84,230","86,697","89,280",61,40145,"WAGONER, OKLAHOMA","Wagoner County, Oklahoma"
62,"Washington County, Oklahoma","52,455","52,615","52,903","53,238","53,706",62,40147,"WASHINGTON, OKLAHOMA","Washington County, Oklahoma"
63,"Bosque County, Texas","18,232","18,252","18,499","18,707","18,996",63,48035,"BOSQUE, TEXAS","Bosque County, Texas"
64,"Clay County, Texas","10,220","10,257","10,311","10,499","10,738",64,48077,"CLAY, TEXAS","Clay County, Texas"
65,"Collin County, Texas","1,066,467","1,075,736","1,114,661","1,158,995","1,195,359",65,48085,"COLLIN, TEXAS","Collin County, Texas"
66,"Cooke County, Texas","41,670","41,748","42,398","43,048","43,782",66,48097,"COOKE, TEXAS","Cooke County, Texas"
67,"Dallas County, Texas","2,611,481","2,610,112","2,588,235","2,601,993","2,606,358",67,48113,"DALLAS, TEXAS","Dallas County, Texas"
68,"Delta County, Texas","5,231","5,228","5,344","5,413","5,520",68,48119,"DELTA, TEXAS","Delta County, Texas"
69,"Denton County, Texas","906,419","914,398","943,883","977,760","1,007,703",69,48121,"DENTON, TEXAS","Denton County, Texas"
70,"Ellis County, Texas","192,445","194,317","203,187","212,323","222,829",70,48139,"ELLIS, TEXAS","Ellis County, Texas"
71,"Erath County, Texas","42,543","42,719","43,381","43,837","44,195",71,48143,"ERATH, TEXAS","Erath County, Texas"
72,"Fannin County, Texas","35,661","35,801","36,723","37,075","37,571",72,48147,"FANNIN, TEXAS","Fannin County, Texas"
73,"Grayson County, Texas","135,543","136,099","139,563","143,198","146,907",73,48181,"GRAYSON, TEXAS","Grayson County, Texas"
74,"Henderson County, Texas","82,147","82,403","83,653","84,490","86,158",74,48213,"HENDERSON, TEXAS","Henderson County, Texas"
75,"Hill County, Texas","35,870","35,964","36,378","37,266","38,101",75,48217,"HILL, TEXAS","Hill County, Texas"
76,"Hood County, Texas","61,598","62,057","64,293","66,394","67,774",76,48221,"HOOD, TEXAS","Hood County, Texas"
77,"Hopkins County, Texas","36,791","36,827","37,210","37,793","38,172",77,48223,"HOPKINS, TEXAS","Hopkins County, Texas"
78,"Hunt County, Texas","99,953","100,254","103,591","108,438","113,347",78,48231,"HUNT, TEXAS","Hunt County, Texas"
79,"Jack County, Texas","8,473","8,487","8,550","8,764","8,875",79,48237,"JACK, TEXAS","Jack County, Texas"
